year,site,AGSM,ALTE,ARFR,ARLO,ASGR,ASOX,BOGR,BUDA,CAFI,CAHE,CHAL,CHLE,CHNA,CHVI,COVI,EREF,EUGL,FEOC,FORB,GACO,GRSQ,GUSA,HASP,HOJU,IPLA,LARE,LEDE,LIIN,LUPU,LYJU,MATA,MILI,MUTO,OECO,OPPO,PEAL,PEAN,PEGR,PESE,PIOP,PLPA,POOL,PSTE,SAIB,SCPA,SETR,SIHY,SPCO,SPCR,STCO,TAPA,THFI,THME,TOGR,TRDU,TROC
87,3,0,0,0,0,0,0,13.71266667,0,0,1.972,0,0,0,0,0,0,0,2.983333333,0.172666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.268666667,0.621333333,0,0,0,0,0,0,0,0
88,3,0,0,0,0,0,0,18.24133333,0,0,2.009333333,0,0.010666667,0,0,0,0,0,0.366666667,1.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.511333333,1.628666667,0,0,0,0,0,0,0,0
89,3,0,0,0,0.512666667,0,0,10.82933333,0,0,1.664,0,0.170666667,0,0,0,0,0,0,1.032666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010666667,0,0,0,0.602,1.267333333,0,0,0,0,0,0,0,0
90,3,0.112666667,0,0,0,0,0,14.97866667,0,0,1.615333333,0,0.734666667,0,0,0,0,0,1.22,2.654,0,0,0,0,0,0,0,0.149333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002666667,0,0,0,0,0,0.062,2.424,0,0,0,0,0,0,0,0
91,3,0.399333333,0,0,0,0,0,21.942,0,0,2.788,0,0.417333333,0,0,0,0,0,0.01,0.236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.918666667,1.656666667,0,0,0,0,0,0,0,0
92,3,0.07,0,0,0.524,0,0,29.60066667,8.018666667,0,2.058666667,0,0.653333333,0,0,0,0,0,0,0.41,0,0,0,0,0,0,0,0.074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.423333333,1.07,0,0,0,0,0,0,0,0
93,3,0.025333333,0,0,1.762666667,0,0,6.646,3.038666667,0,1.764666667,0,0,0,0,0,0,0,0.031333333,0.276666667,0,0,0,0,0,0,0,0.037333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019333333,0,0,0,0,0,0.136666667,0.568,0,0,0,0,0,0,0,0
94,3,0,0,0,0.68,0,0,7.745333333,0.354666667,0,1.492,0,0,0,0,0,0,0,0.296,0.093333333,0,0,0,0,0,0,0,0.006666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026666667,0,0,0,0,0,0.333333333,0.512666667,0,0,0,0,0,0,0,0
95,3,0,0,0,0,0,0.040769231,12.03307692,4.306153846,0,3.160769231,0,0,0,0,0,0,0,10.97230769,0.37,0,0,0,0,0,0,0.385384615,2.509230769,0,0,0.113846154,0,0,0,0.015384615,0,0,0,0,0,0.506153846,0.253846154,0,0,0,0,0,0.430769231,1.57,0.026153846,0,0,0,0,0,0,0
96,3,0.362,0,0,0.746666667,0,0,37.32333333,1.632,0,3.7,0,0,0,0,0,0,1.567333333,0.014666667,0,0.528666667,0,0,0,0,0,0,0,0,0,0,0,0.006,0.128666667,0,0,0,0,0,0,0.484666667,0,0,0,0,0.003333333,0,1.139333333,0.798666667,0.144666667,0,0,0,0,0,0,0
97,3,0.288,0,0.018,1.762666667,0,0,27.88333333,0.917333333,0,3.669333333,0,0,0,0.265333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017333333,0,0,0.181333333,0,0,0,0,0.136666667,0,0,0,0,0.055333333,0,1.055333333,0.648666667,0.476666667,0.074666667,0,0.108,0,0,0,0
98,3,0.422666667,0,1.034666667,0.56,0,0,17.304,4.111333333,0,6.050666667,0,0,0,0,0,0.419333333,0,0.106666667,0,0,0.261333333,0,0,0.125333333,0,0,0,0,0,0.078666667,0,0,0,0,0.003333333,0,0,0,0,0,0.043333333,0,0,0,0,0,0.470666667,0.594,0.312666667,0,0,0,0,0,0,0
1999,3,0.508,0,0,2.44,0,0.410666667,18.802,4.882666667,0,7.574666667,0,0.003333333,0,0.349333333,0,0,0.02,2.894666667,0.024,0,0,0.478,0,0,0,0,0.024666667,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.152666667,0.009333333,0,0,0.240666667,0,2.410666667,2.604666667,0.324,0.017333333,0,0,0,0,0,0
2000,3,0.068666667,0,0.092,0.033333333,0,0,2.826666667,0.728666667,0,1.729333333,0,0,0,0,0,0,0,0,0,0,0,1.665333333,0,0,0,0,0,0.02,0,0.066,0,0,0,0,0.171333333,0,0,0,0,0,0,0,0,0,0,0,0.1,1.106666667,0.064666667,0,0,0,0,0,0,0
2001,3,0.19,0,0.036666667,3.388,0,0.008,11.12266667,0.252,0,4.324666667,0,0.460666667,0,0,0,0,0.013333333,0.830666667,1.777333333,0,0,0,0,0,0,0,0.189333333,0,0,0.052,0,0.003333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.674666667,1.085333333,0.84,0,0,0,0,0,0,0
2002,3,0,0,0.244,0.029333333,0,0,1.708666667,0.277333333,0,0.750666667,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0.082,0,0.016666667,0,0,0,0,0,0,0,0.038,0,0,0,0,0,0,0,0.632666667,0,0,0,0,0,0,0,0
,,0.650286378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
